ImageId,EncodedPixels
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,20878 7 21133 10 21387 14 21641 17 21896 18 22152 19 22408 20 22664 20 22685 2 22919 21 23176 21 23432 21 23688 22 23945 21 24201 21 24458 20 24715 19 24972 17 25222 3 25229 15 25478 5 25486 14 25734 6 25742 13 25990 6 25999 9 26246 7 26257 7
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,33643 9 33898 13 34153 16 34408 18 34664 19 34919 20 35175 21 35431 21 35686 22 35942 22 36198 23 36454 23 36711 21 36967 21 37223 21 37479 21 37736 20 37993 20 38250 19 38507 13 38521 4 38763 10 38777 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,21267 12 21520 17 21776 18 22031 20 22287 20 22543 21 22798 22 23054 22 23310 22 23566 22 23822 22 24078 22 24334 22 24590 22 24846 22 25102 21 25359 19 25616 16 25873 9 26130 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,22631 2 22883 9 23136 13 23391 15 23645 18 23900 20 24155 21 24410 23 24666 23 24922 23 25178 23 25434 23 25690 23 25946 23 26203 22 26459 22 26716 21 26973 20 27229 19 27485 18 27742 16 28000 13
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,45960 2 46213 7 46469 12 46725 15 46749 3 46979 19 47005 4 47235 22 47262 2 47491 23 47747 26 48003 28 48259 29 48515 29 48771 30 49027 30 49283 31 49539 31 49795 31 50052 30 50308 30 50565 7 50574 20 50831 19 51087 19 51343 19 51600 9 51610 8 51856 18 52114 16 52371 3 52376 10 52631 11 52888 10 53145 9
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,51182 2 51438 2 51445 3 51699 7 51954 10 52209 13 52463 16 52719 16 52975 17 53231 17 53486 18 53742 18 53998 18 54254 18 54510 18 54766 18 55022 18 55279 17 55535 17 55791 17 56047 17 56304 16 56560 16 56817 15 57073 15 57329 15 57586 14 57842 14 58100 12 58358 10
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,60619 2 61648 14 61902 17 62156 20 62411 21 62667 21 62922 22 63178 22 63434 22 63690 22 63946 22 64203 21 64459 21 64716 20 64972 20 65229 19
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,16842 10 17097 13 17352 15 17606 18 17862 19 18117 20 18373 20 18629 21 18885 21 19140 22 19396 21 19652 21 19908 20 20164 20 20420 19 20676 18 20932 17 21190 14 21448 12 21706 10 21963 7 22222 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,26401 1 26655 5 26910 8 27165 12 27419 15 27671 20 27925 23 28181 23 28437 24 28693 24 28951 22 29207 22 29461 23 29717 23 29973 23 30229 22 30485 22 30742 20 30998 20 31254 20 31510 18 31767 16 32024 14
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,58259 4 58513 9 58768 11 59022 14 59278 15 59534 16 59790 16 60046 16 60302 16 60558 16 60814 16 61070 16 61326 16 61582 15 61839 14 62102 6
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,28878 7 29132 10 29386 14 29641 13 29896 15 30151 17 30406 18 30661 20 30917 20 31173 20 31429 20 31685 20 31941 21 32197 20 32453 20 32709 19 32966 17 33223 14 33480 12 33737 10
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,60150 11 60404 13 60659 14 60914 15 61169 16 61425 16 61680 17 61935 18 62191 18 62447 18 62703 18 62960 17 63217 16 63473 16 63730 15 63986 15 64242 15 64499 14 64755 14 65011 11 65023 2 65268 11
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,38287 6 38301 1 38541 19 38796 23 39048 27 39304 27 39559 28 39815 28 40071 28 40327 28 40583 28 40839 28 41096 27 41352 27 41608 27 41865 26 42121 26 42378 25 42634 25 42890 25 43147 24 43405 22
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,24508 10 24763 12 25018 14 25273 15 25529 15 25784 16 26035 2 26039 17 26294 18 26550 18 26806 18 27061 19 27317 19 27574 18 27830 18 28087 15 28344 13 28600 11 28858 8
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,30883 6 31137 9 31392 13 31647 15 31902 17 32158 18 32413 20 32669 21 32925 21 33181 21 33437 21 33693 21 33949 21 34206 20 34462 20 34719 19 34975 17 35232 15 35488 14 35745 13 36002 11
